Ultimate Parent ID,Account ID,Account Geo,Account Region,Opportunity ID,Opportunity Type,Account Rep Owner ID,Opportunity Stage,Opportunity Close Date,Opportunity Amount,Ultimate Company Annual Revenue,Ultimate Company # of Employees,Segment
0012K00001ajtCuQAI,0012K00001ajtCuQAI,EMEA III,EMEA,0062K00000e8ahgQAA,New Customer,005A0000008PVwUIAW,Closed Lost,9-12-2019,6600.00,40000.00,2.00,Inside Sales
0012K00001ajteZQAQ,0012K00001ajteZQAQ,EMEA Cloud,EMEA,0062K00000jGJNmQAO,New Customer,0052K000009fp1tQAA,Discovery,11-30-2020,400.00,0.00,0.00,Inside Sales
0012K00001ajtJ2QAI,0012K00001ajtJ2QAI,EMEA Cloud,EMEA,0062K00000eQZ2jQAG,New Customer,0052K000009HAXXQA4,Closed Lost,5-25-2020,11085.00,5500000.00,11.00,Inside Sales
0012K00001ajviHQAQ,0012K00001ajviHQAQ,Austin,Americas,0062K00000ePVfBQAW,New Customer,005A0000008PiHPIA0,Closed Lost,9-13-2019,9000.00,0.00,0.00,Inside Sales
0012K00001ak6HnQAI,0012K00001ak6HnQAI,APAC Cloud,APAC,0062K00000ju00BQAQ,New Customer,005A0000008taziIAA,Business Case,1-31-2021,1000.00,0.00,0.00,Inside Sales
0012K00001ak7oOQAQ,001A000001KmU9AIAV,APAC I,APAC,006A000000ae5D2IAI,New Customer,0052K000009fkcLQAQ,Closed Lost,9-12-2018,18500.00,1027120000.00,7428.00,Inside Sales
0012K00001ak8WrQAI,0012K00001ak8WrQAI,Austin V,Americas,0062K00000jG9KTQA0,Renewal,0052K000009H0pvQAC,Research,9-30-2021,25000.00,310000.00,40.00,Inside Sales
0012K00001ak9EZQAY,0012K00001ak9EZQAY,Austin Cloud I,Americas,0062K00000ioacBQAQ,Renewal,0052K000009tjeJQAQ,Research,6-30-2021,71250.00,0.00,0.00,Inside Sales
