cust_id,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore
13852815,168,4,129.66,4,4,4,444
13863084,168,1,36.99,4,1,2,412
13868709,168,1,15.99,4,1,1,411
13869427,168,5,160.15,4,5,5,455
13892423,168,1,64.99,4,1,3,413
13895369,168,2,144.14,4,3,5,435
13918075,131,3,84.97,5,4,4,544
13937528,168,1,53.99,4,1,3,413
13951722,168,1,40.99,4,1,2,412
13961314,22,13,411.86000000000007,5,5,5,555
13963664,168,2,27.439999999999998,4,3,1,431
13965127,168,1,83.99,4,1,4,414
13965623,168,1,45.99,4,1,2,412
13987647,168,1,16.99,4,1,1,411
13993714,168,1,47.59,4,1,2,412
14036932,168,1,51.99,4,1,3,413
14075295,45,19,774.84,5,5,5,555
14210897,168,1,25.99,4,1,1,411
14225812,168,4,102.96,4,4,4,444
14232688,168,1,12.49,4,1,1,411
14236009,168,2,172.94,4,3,5,435
14246499,168,1,24.99,4,1,1,411
14258128,21,19,887.41,5,5,5,555
14262581,72,4,187.96,5,4,5,545
14277726,168,1,37.99,4,1,2,412
14279141,168,4,92.56,4,4,4,444
14284022,168,1,87.99,4,1,4,414
14286227,168,4,98.17999999999999,4,4,4,444
14286276,168,1,61.99,4,1,3,413
14295255,168,1,46.99,4,1,2,412
14297190,135,2,67.98,5,3,3,533
14301734,168,1,80.99,4,1,4,414
14309758,168,1,106.95,4,1,4,414
14309992,168,3,6.45,4,4,1,441
14311317,7,13,441.74,5,5,5,555
14320260,168,1,22.99,4,1,1,411
14324784,161,3,66.13,4,4,3,443
14330274,168,1,62.99,4,1,3,413
14343832,168,2,127.97999999999999,4,3,4,434
14350376,168,1,32.99,4,1,2,412
14358592,94,2,26.97,5,3,1,531
14363217,168,1,60.89,4,1,3,413
14366908,168,2,131.98,4,3,5,435
14376933,168,7,84.75999999999999,4,5,4,454
14379896,32,6,306.71999999999997,5,5,5,555
14396018,168,1,79.99,4,1,4,414
14411134,168,1,25.99,4,1,1,411
14416453,168,3,20.47,4,4,1,441
14474281,168,3,25.47,4,4,1,441
14494255,168,1,93.99,4,1,4,414
14527431,168,2,68.97,4,3,3,433
14527760,168,1,112.99,4,1,4,414
14530007,122,3,30.490000000000002,5,4,2,542
14552778,168,1,47.99,4,1,2,412
14700234,168,2,33.89,4,3,2,432
14726054,17,2,101.97999999999999,5,3,4,534
14758682,168,2,95.98,4,3,4,434
14769966,168,2,73.48,4,3,3,433
14793960,14,2,114.97999999999999,5,3,4,534
14798706,168,2,68.98,4,3,3,433
14800452,168,1,24.99,4,1,1,411
14822048,168,1,31.99,4,1,2,412
14826871,168,1,67.99,4,1,3,413
